Producto	Material	Línea	D nominal (mm)	Largo (m)	PN - Serie	D mínimo (mm)	D máximo (mm)	Espesor mínimo (mm)	Espesor máximo (mm)	Peso (kg/m)	Desv. Peso debajo	Desv. Peso arriba	Ovalidad (mm)	PHI 20°C (bar)	T Horno (°C)	Tiempo acond. (h)	Color Tubería	Color Línea
63mm x 6m R3 PN-10 S-5	PP-R	R3	63	6	PN-10 S-5	63,1	63,6	5,8	6,5	1,000060	0,9449	1,0552	1,5	32	135	1	GRIS(R3)	AZUL
63mm x 6m PVDF PN-10	PVDF	PVDF	63	6	PN-10	63,0	63,4	2,0	2,5	0,766807	0,6822	0,8514				1	BLANCO(PVDF)	SIN LÍNEA
63mm x 6m SMART PIPE/PP-RCT PN-16 S-3,2	PP-RCT	SMART PIPE/PP-RCT	63	6	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,397029	1,3267	1,4674	1,5	47	135	2	GRIS(BETA)	ROJO
63mm x 6m POLI-ONE/BETA PN-16 S-3,2	PP-RCT	POLI-ONE/BETA	63	6	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,397029	1,3267	1,4674	1,5	47	135	2	GRIS(P1)	ROJO
63mm x 6m  PPR-DG  PN-20 S-2,5	PP-R	PPR-DG	63	6	PN-20 S-2,5	63,1	63,6	10,5	11,7	1,648352	1,5703	1,7264	1,5	64	135	2	GRIS(BETA)	VERDE
63mm x 6m  PPR- DG PN-16 S-3,2 MC	PP-R	PPR-DG	63	6	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,403231	1,3326	1,4739	1,5	50	135	2	GRIS(BETA)	ROJO
63mm x 6m POLI-ONE PN-10 S-5	PP-R	POLI-ONE	63	6	PN-10 S-5	63,1	63,6	5,8	6,5	1,000060	0,9449	1,0552	1,5	32	135	1	GRIS(P1)	AZUL
63mm x 6m HDPE PN-6 SDR-27,6	PE100	HDPE	63	6	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1	NEGRO	AZUL
63mm x 12m HDPE PN-6 SDR-27,6	PE100	HDPE	63	12	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1	NEGRO	AZUL
63mm x 50m HDPE PN-6 SDR-27,6	PE100	HDPE	63	50	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1	NEGRO	AZUL
